
       Len of beam    |     Time    
 -------------------------------------
        500           |    0.000385
        1000          |    0.000544
        1500          |    0.000719
        2000          |    0.000876
        2500          |    0.001053
        3000          |    0.001216
        3500          |    0.001371
        4000          |    0.001524
        4500          |    0.001692
        5000          |    0.001854
        5500          |    0.002019
        6000          |    0.002167
        6500          |    0.002292
        7000          |    0.002412
        7500          |    0.002503
        8000          |    0.002691
        8500          |    0.002881
        9000          |    0.003144
        9500          |    0.003322
        10000         |    0.003465

 ======= Time measuring <ENDED> ======= 
