 Кол-во   |   Время
----------------------
    10    |   0.1489
    15    |   0.2205
    20    |   0.2945
    25    |   0.3676
    30    |   0.4384
    35    |   0.5104
    40    |   0.5825
    45    |   0.6599
    50    |   0.7327

 Кол-во   |   Время
----------------------
    10    |   0.0852
    15    |   0.1161
    20    |   0.1526
    25    |   0.2007
    30    |   0.2288
    35    |   0.2724
    40    |   0.2990
    45    |   0.3355
    50    |   0.3948

 Размер   |   Время
----------------------
  100     |   0.0234
  200     |   0.1117
  300     |   0.3799
  400     |   1.1094
  500     |   2.0219
  600     |   3.4380
  700     |   4.9524
  800     |   7.7517
  900     |   12.0428
  1000    |   19.0892
 Размер   |   Время
----------------------
  100     |   0.0205
  200     |   0.1173
  300     |   0.4046
  400     |   0.9100
  500     |   1.9120
  600     |   5.3122
  700     |   6.1019
  800     |   8.1879
  900     |   12.2416
  1000     |   19.1643
